,timestamp,device_id,model,odometer_km,trip_driven_km,instant_consumption_l_per_100km,avg_consumption_l_per_100km,fuel_level_percent,location
0,2025-09-17T11:19:03.777967,ID_4,BMW M-series (performance),93217,10.7,12.97,12.32,31.6,"('Narwar', 'IN', 'Asia/Kolkata')"
1,2025-09-17T11:34:03.777967,ID_3,BMW X5 (SUV),221846,13.3,8.01,9.19,14.7,"('Boston', 'US', 'America/New_York')"
2,2025-09-17T11:49:03.777967,ID_2,BMW 3-series (sedan),194060,54.2,8.1,7.84,93.4,"('Itaperuna', 'BR', 'America/Sao_Paulo')"
3,2025-09-17T12:04:03.777967,ID_4,BMW M-series (performance),216827,43.7,13.27,14.88,93.9,"('Ostrava', 'CZ', 'Europe/Prague')"
4,2025-09-17T12:19:03.777967,ID_1,BMW 1-series (compact),135449,66.7,4.52,5.71,64.9,"('Clermont', 'US', 'America/New_York')"
5,2025-09-17T12:34:03.777967,ID_2,BMW 3-series (sedan),141535,22.9,6.35,7.66,98.1,"('Hutto', 'US', 'America/Chicago')"
6,2025-09-17T12:49:03.777967,ID_3,BMW X5 (SUV),242804,67.6,12.59,11.17,77.7,"('Phanat Nikhom', 'TH', 'Asia/Bangkok')"
7,2025-09-17T13:04:03.777967,ID_2,BMW 3-series (sedan),279438,18.6,9.58,8.72,62.7,"('East Haven', 'US', 'America/New_York')"
8,2025-09-17T13:19:03.777967,ID_2,BMW 3-series (sedan),127967,59.6,7.34,6.47,68.5,"('Valletta', 'MT', 'Europe/Malta')"
9,2025-09-17T13:34:03.777967,ID_2,BMW 3-series (sedan),294540,29.1,8.91,8.09,60.5,"('Inawashiro', 'JP', 'Asia/Tokyo')"
10,2025-09-17T13:49:03.777967,ID_2,BMW 3-series (sedan),110692,69.2,7.7,9.28,94.2,"('Chanika', 'TZ', 'Africa/Dar_es_Salaam')"
11,2025-09-17T14:04:03.777967,ID_2,BMW 3-series (sedan),54538,65.6,9.6,8.41,60.0,"('Eppingen', 'DE', 'Europe/Berlin')"
12,2025-09-17T14:19:03.777967,ID_1,BMW 1-series (compact),59089,17.6,6.27,6.32,15.5,"('Amreli', 'IN', 'Asia/Kolkata')"
13,2025-09-17T14:34:03.777967,ID_4,BMW M-series (performance),80198,20.8,14.75,14.1,32.1,"('Vryheid', 'ZA', 'Africa/Johannesburg')"
14,2025-09-17T14:49:03.777967,ID_1,BMW 1-series (compact),208496,39.4,7.89,7.12,85.7,"('Sheoganj', 'IN', 'Asia/Kolkata')"
15,2025-09-17T15:04:03.777967,ID_4,BMW M-series (performance),27410,68.0,17.11,15.59,27.1,"('Jaruco', 'CU', 'America/Havana')"
16,2025-09-17T15:19:03.777967,ID_3,BMW X5 (SUV),64879,43.8,10.68,12.16,92.5,"('Alwaye', 'IN', 'Asia/Kolkata')"
17,2025-09-17T15:34:03.777967,ID_1,BMW 1-series (compact),254647,27.4,4.98,6.09,21.6,"('Sinhyeon', 'KR', 'Asia/Seoul')"
18,2025-09-17T15:49:03.777967,ID_3,BMW X5 (SUV),82049,77.1,8.52,8.83,84.4,"('Bothell', 'US', 'America/Los_Angeles')"
19,2025-09-17T16:04:03.777967,ID_1,BMW 1-series (compact),122761,36.7,8.16,7.47,20.6,"('Laiwu', 'CN', 'Asia/Shanghai')"
