,timestamp,device_id,model,odometer_km,trip_driven_km,instant_consumption_l_per_100km,avg_consumption_l_per_100km,fuel_level_percent,location
0,2025-09-17T11:19:01.123347,ID_4,BMW M-series (performance),129228,61.1,15.84,13.96,25.5,"('Kyzylorda', 'KZ', 'Asia/Qyzylorda')"
1,2025-09-17T11:34:01.123347,ID_3,BMW X5 (SUV),233949,39.9,8.91,9.7,99.7,"('Schwalmtal', 'DE', 'Europe/Berlin')"
2,2025-09-17T11:49:01.123347,ID_2,BMW 3-series (sedan),19029,33.1,8.3,8.25,38.4,"('Culemborg', 'NL', 'Europe/Amsterdam')"
3,2025-09-17T12:04:01.123347,ID_1,BMW 1-series (compact),286320,16.1,6.39,7.37,92.8,"('Columbia Heights', 'US', 'America/Chicago')"
4,2025-09-17T12:19:01.123347,ID_1,BMW 1-series (compact),169596,64.4,7.13,7.58,43.9,"('La Ligua', 'CL', 'America/Santiago')"
5,2025-09-17T12:34:01.123347,ID_2,BMW 3-series (sedan),145944,11.0,8.61,7.81,91.5,"('Maasin', 'PH', 'Asia/Manila')"
6,2025-09-17T12:49:01.123347,ID_1,BMW 1-series (compact),157190,12.3,5.73,6.38,20.0,"('Poulton-le-Fylde', 'GB', 'Europe/London')"
7,2025-09-17T13:04:01.123347,ID_2,BMW 3-series (sedan),16805,30.0,9.03,9.2,91.3,"('Bavly', 'RU', 'Europe/Moscow')"
8,2025-09-17T13:19:01.123347,ID_1,BMW 1-series (compact),64466,71.4,7.36,6.4,60.8,"('Yanliang', 'CN', 'Asia/Shanghai')"
9,2025-09-17T13:34:01.123347,ID_1,BMW 1-series (compact),209796,9.9,5.82,6.74,29.5,"('Kingston upon Hull', 'GB', 'Europe/London')"
10,2025-09-17T13:49:01.123347,ID_1,BMW 1-series (compact),170309,4.9,6.22,6.94,49.2,"('Jiangyan', 'CN', 'Asia/Shanghai')"
11,2025-09-17T14:04:01.123347,ID_1,BMW 1-series (compact),85668,35.7,7.63,5.64,97.8,"('Hendala', 'LK', 'Asia/Colombo')"
12,2025-09-17T14:19:01.123347,ID_4,BMW M-series (performance),192427,29.3,12.3,14.24,77.3,"('Sar-e Pul', 'AF', 'Asia/Kabul')"
13,2025-09-17T14:34:01.123347,ID_1,BMW 1-series (compact),145197,16.0,4.79,5.85,88.9,"('Viradouro', 'BR', 'America/Sao_Paulo')"
14,2025-09-17T14:49:01.123347,ID_1,BMW 1-series (compact),123616,66.1,6.49,7.26,81.7,"('Tavda', 'RU', 'Asia/Yekaterinburg')"
15,2025-09-17T15:04:01.123347,ID_3,BMW X5 (SUV),296305,24.0,13.75,12.38,13.1,"('Ramla', 'IL', 'Asia/Jerusalem')"
16,2025-09-17T15:19:01.123347,ID_4,BMW M-series (performance),146888,3.3,13.08,12.29,82.4,"('Chilibre', 'PA', 'America/Panama')"
17,2025-09-17T15:34:01.123347,ID_1,BMW 1-series (compact),72540,52.0,6.16,6.4,45.6,"('Boston', 'US', 'America/New_York')"
18,2025-09-17T15:49:01.123347,ID_1,BMW 1-series (compact),239120,48.3,4.95,6.46,15.1,"('San Bernardo', 'CL', 'America/Santiago')"
19,2025-09-17T16:04:01.123347,ID_2,BMW 3-series (sedan),84876,7.3,7.56,7.01,80.8,"('Cheraga', 'DZ', 'Africa/Algiers')"
