,timestamp,device_id,model,odometer_km,trip_driven_km,instant_consumption_l_per_100km,avg_consumption_l_per_100km,fuel_level_percent,location
0,2025-09-17T11:18:59.229536,ID_1,BMW 1-series (compact),47783,17.9,6.46,6.37,58.8,"('Sirsi', 'IN', 'Asia/Kolkata')"
1,2025-09-17T11:33:59.229536,ID_3,BMW X5 (SUV),142797,34.0,11.88,12.35,89.4,"('Guaraciaba do Norte', 'BR', 'America/Fortaleza')"
2,2025-09-17T11:48:59.229536,ID_4,BMW M-series (performance),224964,34.1,10.58,10.0,29.6,"('Rutherglen', 'GB', 'Europe/London')"
3,2025-09-17T12:03:59.229536,ID_2,BMW 3-series (sedan),209773,34.8,8.11,8.62,37.8,"('Rangia', 'IN', 'Asia/Kolkata')"
4,2025-09-17T12:18:59.229536,ID_1,BMW 1-series (compact),165127,24.6,8.56,7.45,86.4,"('Lutsk', 'UA', 'Europe/Kyiv')"
5,2025-09-17T12:33:59.229536,ID_4,BMW M-series (performance),222442,61.4,10.67,11.02,23.8,"('Resplendor', 'BR', 'America/Sao_Paulo')"
6,2025-09-17T12:48:59.229536,ID_3,BMW X5 (SUV),223751,63.3,8.03,8.61,14.3,"('Guanajuato', 'MX', 'America/Mexico_City')"
7,2025-09-17T13:03:59.229536,ID_3,BMW X5 (SUV),186490,22.9,9.1,10.02,19.9,"('Bergama', 'TR', 'Europe/Istanbul')"
8,2025-09-17T13:18:59.229536,ID_3,BMW X5 (SUV),297644,62.0,7.56,8.6,50.9,"('Wesseling', 'DE', 'Europe/Berlin')"
9,2025-09-17T13:33:59.229536,ID_1,BMW 1-series (compact),168150,17.6,8.27,6.78,31.4,"('Myawadi', 'MM', 'Asia/Yangon')"
10,2025-09-17T13:48:59.229536,ID_4,BMW M-series (performance),122744,21.1,12.34,12.36,86.2,"('Lodwar', 'KE', 'Africa/Nairobi')"
11,2025-09-17T14:03:59.229536,ID_4,BMW M-series (performance),124378,21.1,11.46,11.12,49.0,"('Dumont', 'US', 'America/New_York')"
12,2025-09-17T14:18:59.229536,ID_4,BMW M-series (performance),190090,53.2,11.04,12.61,53.4,"('Independence', 'US', 'America/Chicago')"
13,2025-09-17T14:33:59.229536,ID_4,BMW M-series (performance),26162,11.4,10.4,10.43,90.9,"('Villa del Rosario', 'CO', 'America/Bogota')"
14,2025-09-17T14:48:59.229536,ID_4,BMW M-series (performance),67682,68.1,14.34,15.22,36.1,"('La Ligua', 'CL', 'America/Santiago')"
15,2025-09-17T15:03:59.229536,ID_3,BMW X5 (SUV),85742,52.7,7.99,8.81,74.3,"('Bar-le-Duc', 'FR', 'Europe/Paris')"
16,2025-09-17T15:18:59.229536,ID_4,BMW M-series (performance),62775,3.2,12.67,14.66,61.4,"('Lower Earley', 'GB', 'Europe/London')"
17,2025-09-17T15:33:59.229536,ID_3,BMW X5 (SUV),238634,36.2,11.48,12.27,61.2,"('Nidderau', 'DE', 'Europe/Berlin')"
18,2025-09-17T15:48:59.229536,ID_2,BMW 3-series (sedan),291231,19.1,7.28,7.78,49.0,"('Huangshi', 'CN', 'Asia/Shanghai')"
19,2025-09-17T16:03:59.229536,ID_1,BMW 1-series (compact),15516,18.8,8.91,7.2,67.6,"('Shinshiro', 'JP', 'Asia/Tokyo')"
