,timestamp,device_id,model,odometer_km,trip_driven_km,instant_consumption_l_per_100km,avg_consumption_l_per_100km,fuel_level_percent,location
0,2025-09-17T11:18:56.377125,ID_2,BMW 3-series (sedan),53342,2.8,9.29,7.78,83.8,"('Radevormwald', 'DE', 'Europe/Berlin')"
1,2025-09-17T11:33:56.377125,ID_3,BMW X5 (SUV),168287,27.6,8.22,8.6,14.4,"('Yablonovskiy', 'RU', 'Europe/Moscow')"
2,2025-09-17T11:48:56.377125,ID_4,BMW M-series (performance),203934,53.9,13.95,15.9,12.8,"('Viewpark', 'GB', 'Europe/London')"
3,2025-09-17T12:03:56.377125,ID_2,BMW 3-series (sedan),276314,74.8,5.62,7.23,53.7,"('Media Luna', 'CU', 'America/Havana')"
4,2025-09-17T12:18:56.377125,ID_3,BMW X5 (SUV),109926,68.6,9.55,8.7,57.0,"('Kent', 'US', 'America/Los_Angeles')"
5,2025-09-17T12:33:56.377125,ID_1,BMW 1-series (compact),146011,35.3,5.87,7.44,39.3,"('Roi Et', 'TH', 'Asia/Bangkok')"
6,2025-09-17T12:48:56.377125,ID_3,BMW X5 (SUV),197580,19.7,10.64,9.04,84.1,"('Tarakan', 'ID', 'Asia/Makassar')"
7,2025-09-17T13:03:56.377125,ID_2,BMW 3-series (sedan),261592,18.6,10.38,9.23,69.8,"('Dipolog', 'PH', 'Asia/Manila')"
8,2025-09-17T13:18:56.377125,ID_3,BMW X5 (SUV),282623,35.5,9.12,10.91,50.9,"('Volla', 'IT', 'Europe/Rome')"
9,2025-09-17T13:33:56.377125,ID_4,BMW M-series (performance),166530,77.4,11.82,13.49,91.8,"('Guyong', 'PH', 'Asia/Manila')"
10,2025-09-17T13:48:56.377125,ID_1,BMW 1-series (compact),79232,32.5,7.35,5.61,37.7,"('Durazno', 'UY', 'America/Montevideo')"
11,2025-09-17T14:03:56.377125,ID_1,BMW 1-series (compact),250815,50.3,4.31,5.92,86.4,"('Gandia', 'ES', 'Europe/Madrid')"
12,2025-09-17T14:18:56.377125,ID_4,BMW M-series (performance),277146,45.8,13.21,12.39,34.8,"('Iturama', 'BR', 'America/Sao_Paulo')"
13,2025-09-17T14:33:56.377125,ID_4,BMW M-series (performance),210187,36.8,11.23,12.45,28.8,"('Thenia', 'DZ', 'Africa/Algiers')"
14,2025-09-17T14:48:56.377125,ID_3,BMW X5 (SUV),243240,67.1,11.92,11.11,89.6,"('Tupiza', 'BO', 'America/La_Paz')"
15,2025-09-17T15:03:56.377125,ID_3,BMW X5 (SUV),217810,26.8,8.5,8.65,77.1,"('Catania', 'IT', 'Europe/Rome')"
16,2025-09-17T15:18:56.377125,ID_1,BMW 1-series (compact),133276,45.9,6.68,7.18,74.5,"('Morningside Heights', 'US', 'America/New_York')"
17,2025-09-17T15:33:56.377125,ID_4,BMW M-series (performance),122807,68.5,14.53,13.76,81.1,"('Martinsburg', 'US', 'America/New_York')"
18,2025-09-17T15:48:56.377125,ID_3,BMW X5 (SUV),262000,48.8,11.51,12.5,56.0,"('Argungu', 'NG', 'Africa/Lagos')"
19,2025-09-17T16:03:56.377125,ID_2,BMW 3-series (sedan),22278,71.5,5.72,6.74,18.6,"('Zacoalco de Torres', 'MX', 'America/Mexico_City')"
